pro_id,rho_age,rho_p_age,rho_p_adj,gene_name
P35606,-0.418075117370892,0.000322678985996169,0.0213541782288131,COPB2
P35625,0.844131455399061,0,0,TIMP3
P35858,-0.480181086519115,2.8492798306124e-05,0.00396922745605932,IGFALS
P47985,0.401911468812877,0.000566847987605096,0.0301441661979996,UQCRFS1
P48061,0.380046948356807,0.00116568591799496,0.0456764824182762,CXCL12
P49961,0.415627095908786,0.000352025366607958,0.023040253665022,ENTPD1
P50213,0.380415828303152,0.00115203155491294,0.045440396960672,IDH3A
P50416,0.403822937625755,0.00053103961133967,0.0290171736251291,CPT1A
P50454,-0.396914822266935,0.000671125530016311,0.0337415885039555,SERPINH1
P50897,0.448558014755198,0.00010349384843778,0.00999418052827856,PPT1
P53618,-0.480046948356807,2.86562761266875e-05,0.00396922745605932,COPB1
P54886,-0.382662642521797,0.00107195207035701,0.0444328913346971,ALDH18A1
P55036,-0.381522468142186,0.00111193481275702,0.0453608475669919,PSMD4
P55083,-0.509255533199195,7.82107934462011e-06,0.00160628788195025,MFAP4
P55290,0.39289067739772,0.000767523928985633,0.0356141519183436,CDH13
P57740,-0.430583501006036,0.000204817765352743,0.0167108850745334,NUP107
P61457,-0.391817572099262,0.000795279080782353,0.0356141519183436,PCBD1
P61626,0.405969148222669,0.00049330765969583,0.0279822897252225,LYZ
P62736,0.376425217974514,0.00130775795134791,0.04992952793736,ACTA2
P78539,-0.394802146210597,0.000720262494570923,0.0348771009566213,SRPX
P80303,-0.419014084507042,0.000312032161391895,0.0208816129578666,NUCB2
P98095,0.573977196512408,2.9313991035069e-07,9.69967392249283e-05,FBLN2
Q00341,-0.455097250167673,8.00205148675877e-05,0.00851866810206057,HDLBP
Q01813,0.603755868544601,5.09568837663291e-08,2.33460922855582e-05,PFKP
Q02218,0.381153588195842,0.00112515736782353,0.0454013235551422,OGDH
Q02880,-0.387022132796781,0.000930829910833827,0.03988505718652,TOP2B
Q03169,0.397585513078471,0.00065617858133642,0.0334034156447839,TNFAIP2
Q03591,0.376559356136821,0.00130222809743322,0.04992952793736,CFHR1
Q06033,0.607075788061704,4.123383915858e-08,2.23262496389548e-05,ITIH3
Q06210,-0.455499664654594,7.87513351738701e-05,0.00851866810206057,GFPT1
Q06828,-0.391281019450033,0.000809496848847512,0.0359803226248939,FMOD
Q07065,-0.498256203890007,1.29158028165553e-05,0.00226254475221775,CKAP4
Q08379,-0.407411133467471,0.000469352288382734,0.0276778438575006,GOLGA2
Q08830,0.400201207243461,0.000600743864677719,0.0316639863541637,FGL1
Q13064,-0.510026827632461,7.54633741043944e-06,0.00160521377202062,MKRN3
Q13162,-0.377900737759893,0.00124808367107926,0.0482700412009615,PRDX4
Q13427,-0.406103286384976,0.000491032942959296,0.0279822897252225,PPIG
Q13790,0.391918175720993,0.000792638717817858,0.0356141519183436,APOF
Q14011,0.56485580147552,4.83159485300786e-07,0.000143884894722574,CIRBP
Q14554,-0.389470154258887,0.00085920822316167,0.0373536071324884,PDIA5
Q15113,-0.491415157612341,1.75084202464991e-05,0.00281838245913915,PCOLCE
Q15233,-0.394969818913481,0.000716246080374393,0.0348771009566213,NONO
Q15554,0.413514419852448,0.000379300372273912,0.0242915378200368,TERF2
Q15836,0.407444668008048,0.00046880808388985,0.0276778438575006,VAMP3
Q15848,0.453487592219987,8.52893776239164e-05,0.00860989039200078,ADIPOQ
Q16647,0.598021462105969,7.27052662367004e-08,3.09308975504134e-05,PTGIS
Q16851,0.392320590207914,0.000782156948170801,0.0356141519183436,UGP2
Q5SSJ5,-0.378504359490275,0.00122439135608332,0.0476632347505376,HP1BP3
Q5T9A4,-0.411770623742455,0.000403259159798935,0.0248483613440538,ATAD3B
Q5VW36,-0.406572769953052,0.00048314683558405,0.0279380830362971,FOCAD
Q658P3,0.406807511737089,0.0004792474189777,0.0279380830362971,STEAP3
Q66K79,0.463212608987257,5.77584441631782e-05,0.00702059782522223,CPZ
Q6E213,-0.426861167002012,0.000234888216877205,0.0179934622161442,AWAT2
Q6NUK1,0.570355466130114,3.58056711532527e-07,0.000112241356520407,SLC25A24
Q6PCB7,0.504594232059021,9.69198769561014e-06,0.00192418262383513,SLC27A1
Q6ZXV5,-0.48430583501006,2.38708187073927e-05,0.00364283748678766,TMTC3
Q76M96,-0.437256874580818,0.00015962203067309,0.0137783886186801,CCDC80
Q7L014,-0.703890006706908,0,0,DDX46
Q7Z3Z0,-0.399463447350771,0.000615929288922446,0.0321796039019481,KRT25
