pro_id	gene_id	pro_name	gene_name
A0A0B4J276	ENSG00000211806	TVA25	TRAV25
A0A0B4J277	ENSG00000211802	TVA22	TRAV22
A0A0B4J279	ENSG00000211801	TVA21	TRAV21
A0A0B4J280	ENSG00000211819	TVA40	TRAV40
A0A0B4J2A2	ENSG00000288867	PAL4C	PPIAL4C
A0A0B4J2D5	ENSG_GATD3B	GAL3B	GATD3B
A0A0B4J2D5-2	ENSG_GATD3B	GAL3B	GATD3B
A0A0B4J2D9	ENSG00000276566	KVD13	IGKV1D-13
A0A0B4J2E0	ENSG00000276953	TVBL4	TRBV12-4
A0A0B4J2F0	ENSG00000225973	PIOS1	PIGBOS1
A0A0B4J2F2	ENSG_SIK1B	SIK1B	SIK1B
A0A0B4J2H0	ENSG00000282399	HV69D	IGHV1-69D
A0A0B4J2H0	ENSG00000280411	HV69D	IGHV1-69D
A0A0C4DH24	ENSG00000282210	KV621	IGKV6-21
A0A0C4DH24	ENSG00000211611	KV621	IGKV6-21
A0A0C4DH25	ENSG00000211625	KVD20	IGKV3D-20
A0A0C4DH26	ENSG00000211626	KVD41	IGKV6D-41
A0A0C4DH27	ENSG00000211696	TRGV8	TRGV8
A0A0C4DH28	ENSG00000211698	TRGV4	TRGV4
A0A0C4DH29	ENSG00000282213	HV103	IGHV1-3
A0A0C4DH29	ENSG00000211935	HV103	IGHV1-3
A0A0C4DH30	ENSG00000282653	HV316	IGHV3-16
A0A0C4DH30	ENSG00000211944	HV316	IGHV3-16
A0A0C4DH31	ENSG00000282716	HV118	IGHV1-18
A0A0C4DH31	ENSG00000211945	HV118	IGHV1-18
A0A0C4DH32	ENSG00000282476	HV320	IGHV3-20
A0A0C4DH32	ENSG00000211946	HV320	IGHV3-20
A0A0C4DH33	ENSG00000282284	HV124	IGHV1-24
A0A0C4DH33	ENSG00000211950	HV124	IGHV1-24
A0A0C4DH34	ENSG00000282726	HV428	IGHV4-28
A0A0C4DH34	ENSG00000211952	HV428	IGHV4-28
A0A0C4DH35	ENSG00000282104	HV335	IGHV3-35
A0A0C4DH35	ENSG00000211957	HV335	IGHV3-35
A0A0C4DH36	ENSG00000282425	HV338	IGHV3-38
A0A0C4DH36	ENSG00000211958	HV338	IGHV3-38
A0A0C4DH38	ENSG00000277574	HV551	IGHV5-51
A0A0C4DH38	ENSG00000211966	HV551	IGHV5-51
A0A0C4DH39	ENSG00000282337	HV158	IGHV1-58
A0A0C4DH39	ENSG00000211968	HV158	IGHV1-58
A0A0C4DH41	ENSG00000282451	HV461	IGHV4-61
A0A0C4DH41	ENSG00000211970	HV461	IGHV4-61
A0A0C4DH42	ENSG00000282045	HV366	IGHV3-66
A0A0C4DH42	ENSG00000211972	HV366	IGHV3-66
A0A0C4DH43	ENSG00000282482	HV70D	IGHV2-70D
A0A0C4DH43	ENSG00000211974	HV70D	IGHV2-70D
A0A0C4DH55	ENSG00000275777	KVD07	IGKV3D-7
A0A0C4DH55	ENSG00000228325	KVD07	IGKV3D-7
A0A0C4DH59	ENSG00000230099	TVB54	TRBV5-4
A0A0C4DH62	ENSG00000282409	HJ01	IGHJ1
A0A0C4DH62	ENSG00000211905	HJ01	IGHJ1
A0A0C4DH67	ENSG00000283113	KV108	IGKV1-8
A0A0C4DH67	ENSG00000240671	KV108	IGKV1-8
A0A0C4DH68	ENSG00000282671	KV224	IGKV2-24
A0A0C4DH68	ENSG00000241294	KV224	IGKV2-24
