Sample_ID,Sex,Age,Gene_name,PRM,DIA
NCN006,female,34,ACADSB,79.05802155,64.89230347
NCN006,female,34,GSTM5,168.2078552,458.6282043
NCN006,female,34,LGALS7B,65335.44531,19261.35156
NCN006,female,34,LGALS7,65335.44531,19261.35156
NCN006,female,34,SERPINB8,1115.774414,847.2149658
NCN006,female,34,EPPK1,7303.137207,4372.445313
NCN006,female,34,S100A10,37212.33203,4883.173828
NCN006,female,34,RPS8,2874.405029,1669.571045
NCN006,female,34,RPS27A,525.526123,7059.01709
NCN006,female,34,TUBB4B,3550.959717,11004.02051
NCN006,female,34,HBB,108781.7813,14676.9248
NCN006,female,34,PRKDC,399.6697083,436.7523804
NCN006,female,34,HSPG2,617.8009033,1490.065674
NCN006,female,34,SPTBN1,503.5307312,1045.520142
NCN006,female,34,AHNAK,8454.000977,3898.609863
NCN006,female,34,CNTN1,621.0777588,147.2346497
NCN006,female,34,SGCG,156.9035187,16.47693634
NCN006,female,34,STIM1,497.3989258,62.29953003
NCN006,female,34,SPTAN1,2988.299072,2476.098145
NCN006,female,34,PKP1,28425.94141,11116.87402
NCN006,female,34,DYNC1H1,1277.992554,3929.739014
NCN006,female,34,PLEC,3813.932129,4853.057617
NCN006,female,34,ELOC,190.9136658,118.0005493
NCN006,female,34,QPCT,595.1022339,196.7952271
NCN006,female,34,HSP90AB4P,250.1651917,48.0728302
NCN006,female,34,CAVIN1,4628.336914,981.7581177
NCN006,female,34,PLBD1,659.5505981,262.3280029
NCN006,female,34,DGAT2L6,7.783190727,11.92329502
NCN006,female,34,DGLUCY,162.8849945,84.48977661
NCN006,female,34,TMEM179B,175.3451538,64.02348328
NCN006,female,34,STING1,154.2674255,53.62735748
NCN006,female,34,AHNAK2,8131.258789,2087.05249
NCN006,female,34,CMTR1,50.19044113,31.37147522
NCN006,female,34,PTGR3,33.53660583,67.09816742
NCN006,female,34,DDB2,331.2432251,82.3486557
NCN006,female,34,ARL8A,141.3957062,201.0873566
NCN006,female,34,PTER,360.9013672,53.5545311
NCN006,female,34,MMAB,131.0944366,37.34472656
NCN006,female,34,PDLIM2,432.2983398,174.2042999
NCN006,female,34,HNRNPAB,1841.904663,460.02005
NCN006,female,34,CPNE1,501.5751953,198.4521484
NCN006,female,34,TREX2,136.841095,15.47235775
NCN006,female,34,AAMDC,357.8587036,150.7890167
NCN006,female,34,FN3KRP,320.2404175,59.57775879
NCN006,female,34,PLGRKT,251.7912445,61.15677261
NCN006,female,34,CZIB,147.7042236,19.67842865
NCN006,female,34,ERAP1,573.6543579,225.516037
NCN006,female,34,COPG2,251.7276917,39.64970779
NCN006,female,34,NIPSNAP3A,441.5437317,196.0878906
NCN006,female,34,COG6,33.53820419,21.12166977
NCN006,female,34,CRYBG1,281.654541,348.1287537
NCN006,female,34,ATP6V1D,501.9978943,117.4091797
NCN006,female,34,SQOR,935.6381226,614.3623047
NCN007,male,71,FLNB,281.8788147,2836.125488
NCN007,male,71,NDUFB1,749.8121948,111.7617035
NCN007,male,71,H6PD,330.9373169,522.5306396
NCN007,male,71,F12,635.3178711,161.9899139
NCN007,male,71,CSTA,4814.768066,3659.368652
NCN007,male,71,IGKC,217214.7813,905.9614258
NCN007,male,71,IGHG3,1186.5271,1006.236877
NCN007,male,71,IGHM,4403.828125,4632.322266
NCN007,male,71,IGHA1,21406.23438,10417.94727
NCN007,male,71,HBD,7011.523926,2253.782227
NCN007,male,71,COL1A1,52704.04688,32575.6582
NCN007,male,71,KRT6A,4310.616211,31516.19922
NCN007,male,71,APOC1,3593.983398,582.9158936
NCN007,male,71,GBA1,336.2766724,149.6286316
NCN007,male,71,APOB,2601.498047,2035.745972
NCN007,male,71,KRT6B,1950.035522,11238.57031
NCN007,male,71,ARG1,337.9440308,90.03240204
NCN007,male,71,ALDH2,2786.54248,1154.823364
NCN007,male,71,POLB,42.66014481,35.39553452
NCN007,male,71,IVL,26.47097397,479.1870117
NCN007,male,71,RPSA,2042.438721,1259.776978
NCN007,male,71,LGALS1,13622.11816,3132.010254
NCN007,male,71,GSTM1,1982.406494,64.14621735
NCN007,male,71,GAA,299.1955566,188.6436768
NCN007,male,71,RALB,310.7345581,391.8088379
