pro_id,intensity,tissue
Q9NRC1,16.330836086652,thyroid
P30260,16.5454588696778,colon
P30260,16.1812126545109,heart
P30260,20.258207799642,liver
P30260,20.2319882774345,lung
P30260,19.8953681914161,thyroid
P02730,21.067192902101,colon
P02730,22.7212736530553,heart
P02730,25.0250293596737,liver
P02730,26.8954412709534,lung
P02730,23.607583839915,thyroid
P53701,19.9925924325116,colon
P53701,22.3088453113856,heart
P53701,20.7562231145743,liver
P53701,18.2574119355438,lung
P53701,19.9225949112815,thyroid
O14641,22.063649026669,colon
O14641,19.4391785684373,heart
O14641,18.9848634811068,liver
O14641,20.2144886015015,lung
O14641,19.705744881971,thyroid
Q92900,23.337262488769,colon
Q92900,22.2115372589638,heart
Q92900,23.9400551331373,liver
Q92900,24.0041565903858,lung
Q92900,23.5204200936648,thyroid
O75563,18.6421513484085,colon
O75563,14.1709679005473,heart
O75563,19.9530294508864,liver
O75563,22.403688937723,lung
O75563,13.354922364941,thyroid
P05141,25.0257768986463,colon
P05141,25.0264632821496,heart
P05141,28.63543297836,liver
P05141,25.8085273301194,lung
P05141,24.543515460441,thyroid
Q9NWR8,18.0614247070496,lung
P52435,17.1493405374279,colon
P52435,17.4044505179838,lung
P52435,18.1677871581283,thyroid
Q9H6R0,19.1871328349397,liver
Q9H6R0,16.8603833243915,lung
P50221,12.0879325107292,lung
Q9UPZ6,19.1454297993475,colon
Q9UPZ6,15.7873651705578,heart
Q9UPZ6,16.1206947160968,liver
Q9UPZ6,19.5176056380665,lung
Q9UPZ6,21.0797702788019,thyroid
P49916,20.132646977056,colon
P49916,18.2442857136334,heart
P49916,20.7833016558613,liver
P49916,20.6958449647493,lung
P49916,21.3536278622477,thyroid
Q9H6T3,20.7616049167546,colon
Q9H6T3,18.5332685964116,heart
Q9H6T3,21.3977900222676,liver
Q9H6T3,21.1750137069806,lung
Q9H6T3,21.168124444664,thyroid
Q53FZ2,18.0276619399464,colon
Q53FZ2,15.7952029658365,heart
Q53FZ2,24.7735190456201,liver
Q53FZ2,19.5867911636286,lung
Q53FZ2,15.3726440221795,thyroid
Q6FI81,22.5910543479665,colon
Q6FI81,23.0151308536195,heart
Q6FI81,22.9794129913992,liver
Q6FI81,22.2823344697744,lung
Q6FI81,22.5432718550917,thyroid
Q9P299,23.0349112432543,colon
Q9P299,16.7446057608055,heart
Q9P299,20.8358093464297,liver
Q9P299,18.9911447154131,lung
Q9P299,18.6051648881164,thyroid
P31323,24.3730335479901,colon
P31323,23.377805841145,heart
P31323,21.9464614091889,liver
P31323,23.6522339158607,lung
P31323,22.2302545946901,thyroid
Q92793,18.0953032980688,colon
Q92793,14.237149718784,heart
Q92793,19.0265831686262,liver
Q92793,19.9202671103938,lung
Q92793,20.1141328421122,thyroid
P05164,21.7039083856524,colon
P05164,21.8652749559201,heart
P05164,23.4835306018187,liver
P05164,26.0328073717534,lung
P05164,21.5263534211271,thyroid
P27169,21.9396583372816,colon
P27169,22.6604250480795,heart
P27169,25.7776695810598,liver
P27169,23.4127000329099,lung
P27169,21.9692748269516,thyroid
P16383,18.0924958975705,colon
P16383,17.9832720672173,heart
P16383,19.312535436997,liver
P16383,17.6024859142739,lung
P16383,16.6722634289141,thyroid
Q9H977,13.5793967319945,colon
Q9H977,15.3760523677104,lung
Q9UKG9,17.3991070177873,colon
Q9UKG9,19.4709528902006,heart
Q9UKG9,23.6084396925003,liver
Q9UKG9,19.7341397893543,lung
Q9UKG9,22.0937225526701,thyroid
P21439,22.2909127364998,liver
Q6NTF9,16.4867902241542,colon
Q6NTF9,19.0824916674549,liver
Q6NTF9,20.6639843069349,lung
Q6NTF9,19.2292273353775,thyroid
Q9P2D0,14.9363447325625,colon
Q9P2D0,17.8238482173919,heart
Q9P2D0,21.2865228827677,liver
Q9P2D0,17.2788034946386,lung
O75592,20.2666659357646,colon
O75592,18.5857682222805,heart
O75592,19.7882264252305,liver
O75592,20.8357407306564,lung
O75592,20.1021988889621,thyroid
P20701,17.5026024987406,colon
P20701,18.9232538972893,heart
P20701,20.7950901002855,liver
P20701,22.7246027990263,lung
P20701,19.5842713299131,thyroid
Q15119,20.5623012860176,colon
Q15119,23.4959935111137,heart
Q15119,20.843005862241,liver
Q15119,18.7814093659968,lung
Q15119,19.8827309190135,thyroid
P26006,23.7068898736478,colon
P26006,22.3734706128529,heart
P26006,19.3462274231704,liver
P26006,24.6202542497531,lung
P26006,23.0095005879113,thyroid
P17010,19.6289429196762,colon
