gene_id,rho,rho_p,protein_log_median,protein_log_mean,rna_log_median,rna_log_mean
ENSG00000009335,0.220895465569842,0.0017167512191667,3.69904735015947,3.64925674870581,2.34076380172295,2.35776156376507
ENSG00000009844,0.186107811786204,0.00857181386372019,4.58352144192852,4.58729161673332,1.58829891326468,1.57884495247055
ENSG00000009954,0.119829601950301,0.0918274881015835,2.92563399382841,2.39266350865531,2.10792359011622,2.0932558237089
ENSG00000010017,0.0315720189563668,0.657995182719113,2.76015365692034,2.54915432111697,2.98735812660171,2.98578248558135
ENSG00000010165,0.174124617464741,0.0139062682437868,3.30295344409589,3.08068403896615,1.09937874340921,1.05670790249868
ENSG00000010244,-0.0935945145287319,0.188548963938529,4.24496521955909,4.13830823862052,2.877530658706,2.84994225656353
ENSG00000010256,-0.0523816049946703,0.462143008934036,6.66966778104327,6.67102453036711,2.15170792769604,2.09397319566827
ENSG00000010278,0.000893863255672301,0.990002081436123,6.55528856131118,6.54224252362752,3.99031274078773,4.00376884399388
ENSG00000010322,0.126966059023021,0.0739322117561764,4.66610847907514,4.50658413247517,2.33342609584793,2.25188195193245
ENSG00000010327,0.280331962844526,6.48099058304393e-05,4.86454560368436,4.8711093026981,0.144941976301108,0.127482572442133
ENSG00000010404,0.205715721471422,0.00355759262616628,3.61355852397017,3.59672749624062,2.77875136596817,2.76334906514409
ENSG00000010438,0.0117407101243866,0.86927032001639,3.95629531525482,3.70771517854567,1.41646455718436,1.31873667810596
ENSG00000010610,0.214575247192577,0.00233908200465399,0.917286348883015,1.23685491194566,0.723242635256493,0.70583866372333
ENSG00000010932,-0.100840720025578,0.156428257070952,4.63213912480533,4.58619447280866,0.451254795511116,0.383839009623081
ENSG00000011028,0.354747982335922,3.29873238548989e-07,4.75706256749241,4.8125112255056,1.58982133621351,1.61040230994568
ENSG00000011105,-0.0492705954012487,0.489183018883515,4.19546460868536,4.20007749267393,1.39512433424912,1.34694809432894
ENSG00000011198,0.332222709359139,1.63553166487289e-06,2.84852120449795,2.16350961277429,2.7994200856088,2.78404241272016
ENSG00000011243,0.080669208004713,0.257358180315144,0.214766582277949,1.26275952960118,1.51962881321316,1.46076087684931
ENSG00000011260,-0.21221665434346,0.0026195729922651,0.652689244501949,1.54140433831873,2.13684877811608,2.11029718485276
ENSG00000011304,0.116314907872697,0.101802058023295,5.81551552571093,5.80022940281575,2.68435596785549,2.64570150627229
ENSG00000011376,0.0698376370438064,0.327001139965702,3.47132772500486,2.85487561139538,0.37935922743275,0.366540403927472
ENSG00000011405,0.10325358685025,0.146702724586622,3.87895326418498,3.40295752606369,2.61158778623785,2.6125736543231
ENSG00000011454,-0.065220627643926,0.360071377691892,4.70946112234986,4.36242463028468,2.47687170664387,2.45871917964051
ENSG00000011465,-0.0704081011116187,0.322763891751605,10.3982604874678,10.3934101522274,3.79879948330969,3.87428816929869
ENSG00000011485,0.0848980070420372,0.233166030103098,3.50537452681321,3.4627304195714,1.19519771577588,1.15470231364578
ENSG00000011600,0.156002026359003,0.0277852711532783,0.237084297976276,0.596862411717796,1.34377048509703,1.32910978559963
ENSG00000011638,0.0101791071986934,0.886532579247933,3.83548257283984,3.59117435512481,2.54861986802277,2.52603845221211
ENSG00000012223,0.0660423328765037,0.353730980989684,7.54713025202875,7.4869940472448,-0.162221964468211,0.0248484886742572
ENSG00000012779,0.206010354804325,0.00356535474194171,4.05419478806527,4.10912192765437,0.815096577117542,0.772753827043851
ENSG00000012822,0.0522689075996399,0.463436415051386,3.33316467157268,2.94151896051054,2.6343160584598,2.58100502636357
ENSG00000012983,0.0565745132566637,0.427375903207053,-0.506982419179996,0.0661840265296396,2.56404182161836,2.54969895635268
ENSG00000013275,-0.145972285670778,0.0397399038806326,4.49570597222288,4.46738570276811,2.40479613900434,2.37003545397613
ENSG00000013288,0.0070299967941265,0.921498120946637,3.79144309340695,3.48842540836565,0.856090874079109,0.834504561577034
ENSG00000013364,0.364927668646262,1.43716793112523e-07,6.14561442043492,6.14633626117427,1.30318743850822,1.27341318467262
ENSG00000013374,0.0264684071486221,0.71056626421087,3.09514531509837,2.78860252224801,1.7904913571912,1.77883843266457
ENSG00000013375,0.228430028932541,0.00120513293418155,3.91400727206834,3.89986192223134,1.17959153426138,1.20959366702749
ENSG00000013561,-0.008310434032078,0.907258993715234,3.94498819042268,3.44211623043185,1.73712386553071,1.71811056374927
ENSG00000013583,0.158557941221258,0.0253906926994572,4.9641677482594,4.94086350149485,1.44200879763838,1.43319095595723
ENSG00000013588,0.158345731109123,0.0254974527211225,1.90639077153484,2.67481198159463,0.506351961155931,0.47739932267908
ENSG00000014123,-0.16391198416324,0.0207961908327807,4.88402488279892,4.89248133570148,2.38342330484234,2.37141997918586
ENSG00000014216,-0.0611283691183189,0.390742598806069,7.37573117313695,7.37802665262191,2.29799208373846,2.22132535035424
ENSG00000014257,0.237346104362783,0.000736951040094075,4.84542090530594,4.77350717143465,2.45493523329642,2.36489755619028
ENSG00000014641,0.120686767169179,0.0895048951229687,7.91188937414931,7.92756255777786,1.91796893371731,1.90740072115966
ENSG00000014824,0.108932263516199,0.125631207425447,4.21074611933553,3.88084821002536,1.95211807649852,1.93898807784258
ENSG00000015479,-0.222951119232526,0.00158610246296279,4.61400403836551,4.60277579153327,2.73064190629773,2.71275203444336
ENSG00000015676,0.106747529525983,0.133442496409211,3.80329956881834,3.50748601941097,1.5555288813365,1.48798799425999
ENSG00000016602,0.341784464453311,7.78461858404533e-07,3.212086932801,2.24307139441633,1.4058741997735,1.38938764445356
ENSG00000016864,0.28719377643475,3.90849173376777e-05,2.18276251344379,2.99580748411538,1.18053834943542,1.23645598037851
ENSG00000017260,0.00065548488873631,0.992668739331151,-0.618813255792581,0.429567614424885,2.64716240860527,2.64931417119009
