gene_id,NC005,NC012,NC013,NC026,NC028,NC032,NC033,NC034,NC035,NC036,NC040,NC041,NC042,NC043,NC046,NC047,NC048,NC050,NC054,NC055,NC056,NC057,NC059,NC060,NC063,NC064,NC067,NC068,NC069,NC070,NC073,NC075,NC077,NC078,NC079,NC080,NC081,NC084,NC085,NC086,NC087,NC089,NC090,NC091,NC093,NC094,NC095,NC096,NC101
ENSG00000266469,0.125038548907882,0.165055604938272,0.0624790085470085,0.128458518518519,0.0295070655270655,0.0339851092117759,0.137320683760684,0.227460607787274,0.243340414055081,0.1613630997151,0.183484634377968,0.0490755365622032,0.320147627730294,8.16714150047483e-07,0.0859338461538462,0.207098989553656,0.105170548907882,0.0950391187084521,0.0353049040835708,0.186475316239316,0.169547407407407,0.227887202279202,4.9002849002849e-06,0.0970187654320988,0.107059692307692,0.121479794871795,0.0427443684710351,0.0574893257359924,0.052356277302944,0.0267049192782526,0.308820854700855,0.151239931623932,0.131222279202279,0.0438207977207977,0.0662681861348528,0.118117283950617,0.154330567901235,0.161494605887939,0.0949581538461538,0.217177090218424,0.182403130104463,0.198919293447293,0.135965967711301,0.424464535612536,0.312514852801519,0.121227354226021,0.115923145299145,0.0986727521367521,0.058050408357075
ENSG00000168298,27.548336,30.191734,19.98818,12.476652,11.939281,7.293728,8.059104,15.194176,22.518568,14.595356,14.737078,38.425793,26.513683,18.392998,27.463081,22.056149,6.567828,38.330441,10.184616,30.157986,53.141407,47.82737,25.993441,34.390514,37.212738,31.139612,15.798484,18.645721,10.869321,10.343947,4.632599,27.439939,22.532829,31.75499,43.682964,17.975483,28.141272,27.761509,28.847303,28.56934,26.087175,41.76228,45.982201,24.263165,19.620737,12.915664,32.877224,30.274988,10.894991
ENSG00000255070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000168297,3.76498873688142,3.94963028104575,4.04450953650794,3.69061488496732,2.71452686237162,4.14987030961718,3.64736206853408,5.03159199626517,3.14263598394024,3.75284078562091,4.4704789200747,4.18375300149393,3.28359876769374,3.8346464690943,3.57101310644258,3.54481120728291,2.24219687040149,3.86890689934641,2.53532725826331,4.13388527955182,3.2711410573296,3.01876399794584,2.53914467264239,2.24193174323063,4.10600554733894,3.67518664183007,5.52201911540616,3.18684255088702,3.44029774584501,2.88357283753501,3.13558357180205,3.58198713295985,3.41848494453781,4.85706571596639,3.82735870028011,4.01072094659197,3.82703322614379,3.24135180056022,3.68136904463119,4.96137977236228,3.47915889486461,4.74765492044818,3.57758208123249,4.2298643070028,3.75428243753501,2.87469710513539,3.90017910270775,3.67750978972922,3.76745167152194
ENSG00000266460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266467,1.933352,1.922518,4.813644,5.398632,4.575255,2.573869,0.520076,1.222633,1.766126,4.401536,1.539667,1.537147,2.196391,1.96102,2.329423,0.856438,0.856249,1.277093,5.355346,1.765182,2.144586,2.614312,3.468674,2.207778,2.911302,2.75586,1.972221,1.667318,3.738555,2.891443,3.067047,1.332908,0.888977,1.602977,2.432692,1.950168,1.444829,2.55981,3.402437,4.624492,2.987484,2.225991,2.743753,1.29557,1.998764,4.876374,1.087678,1.313889,2.226307
ENSG00000168291,4.84550173309307,3.59545555586178,5.40902700763197,4.7634961505194,2.53263099703201,2.30623963875344,2.46586748611406,4.0852799001484,4.82122826224295,6.61731110218359,4.03420817956328,3.58248737142251,3.42450722895908,4.00550426393894,3.97186738350647,3.44214310875557,3.05383530803477,3.85472190163239,2.76991098749205,4.47031235403858,3.78430078164087,2.96415331524274,5.31065609794361,2.76009559084164,3.47454851727793,3.90660711023956,3.63554393004028,3.50027035467458,4.23062668327327,3.4766297258851,2.94230637778249,3.36545946131015,4.43969199364003,3.59574146979012,4.55285067839729,3.49474791202035,2.97229651197795,3.22966977973288,3.45313844053424,4.17273586813653,3.46466668518126,4.43671916239135,3.94117999321603,4.34824051664193,5.73597479224083,3.72263703073988,5.21443153762985,3.95645090544838,4.92224494064024
ENSG00000262558,0,0.045539,0,0,0,0,0,0,0,0,0,0,0,0,0.033261,0,0,0.089284,0,0,0,0.031899,0,0,0,0,0,0,0,0,0,0,0.110013,0.150894,0,0,0,0,0,0.201978,0,0,0,0,0.005228,0,0.177526,0,0.045207
