disease,pro_id,nsnps,PP.H0.abf_r1,PP.H1.abf_r1,PP.H2.abf_r1,PP.H3.abf_r1,PP.H4.abf_r1
pso_eur,Q9Y5S1,2654,0.6,0.2,0.2,0,0
pso_eur,Q6WCQ1,2417,0.7,0.1,0.1,0,0
pso_eur,Q8NFG4,2517,0.7,0.2,0.1,0,0
pso_eur,Q9UNS2,2543,0.6,0.2,0.1,0,0
pso_eur,Q6ZVM7,2404,0.5,0.1,0.3,0.1,0
pso_eur,P55039,2403,0.5,0.1,0.3,0.1,0
pso_eur,Q6P6C2,2327,0.5,0.1,0.3,0.1,0
pso_eur,Q15334,2272,0.5,0.1,0.2,0.1,0.1
pso_eur,Q13045,2234,0.5,0.1,0.3,0.1,0
pso_eur,P34896,2159,0.5,0.1,0.3,0.1,0
pso_eur,P43034,2935,0.7,0.2,0.1,0,0
pso_eur,O75153,3148,0.7,0.2,0.1,0,0
pso_eur,O60256,2073,0.5,0.1,0.3,0.1,0
pso_eur,A6ND36,2036,0.5,0.1,0.3,0.1,0
pso_eur,O95208,2042,0.5,0.1,0.3,0,0
pso_eur,P55083,1818,0.5,0.1,0.3,0,0
pso_eur,P51648,1864,0.5,0.1,0.3,0.1,0
pso_eur,P30838,1749,0.5,0.1,0.3,0.1,0
pso_eur,Q5M775,1655,0.7,0.2,0.1,0,0
pso_eur,Q6IAN0,921,0.9,0.1,0.1,0,0
pso_eur,P17152,920,0.8,0.1,0.1,0,0
pso_eur,P46734,930,0.8,0.1,0.1,0,0
pso_eur,P45381,3139,0.7,0.2,0.1,0,0
pso_eur,Q9UHJ6,3184,0.7,0.2,0.1,0,0
pso_eur,O14907,3129,0.6,0.2,0.1,0,0
pso_eur,Q9BV81,3127,0.7,0.2,0.1,0,0
pso_eur,O00182,1801,0,0,0.8,0.1,0.1
pso_eur,Q5BJF2,2077,0,0,0.8,0.2,0.1
pso_eur,Q9Y2S7,2043,0,0,0.8,0.2,0.1
pso_eur,P04004,2034,0,0,0.8,0.2,0.1
pso_eur,Q6SZW1,2030,0,0,0.6,0.4,0
pso_eur,Q96S52,1879,0,0,0.7,0.2,0.1
pso_eur,P09972,1870,0,0,0.7,0.2,0.1
pso_eur,Q7KZ85,1758,0,0,0.8,0.1,0.1
pso_eur,Q9BZG1,1630,0,0,0.8,0.1,0.1
pso_eur,P62750,1623,0,0,0.8,0.1,0.1
pso_eur,Q14254,1432,0.7,0.1,0.2,0,0
pso_eur,Q92614,1485,0.6,0.1,0.3,0,0
pso_eur,Q7Z417,1525,0.5,0.1,0.2,0.1,0
pso_eur,Q7L7X3,1547,0.6,0.1,0.3,0,0
pso_eur,Q9Y2X7,1509,0.6,0.1,0.3,0,0
pso_eur,P51575,3209,0.6,0.3,0.1,0,0
pso_eur,Q13867,1688,0.6,0.1,0.3,0,0
pso_eur,O75976,1720,0.6,0.1,0.3,0,0
pso_eur,O95249,1801,0.6,0.1,0.3,0,0
pso_eur,Q93084,3168,0.7,0.2,0.1,0,0
pso_eur,Q8IUI8,2336,0.6,0.1,0.2,0,0
pso_eur,P21359,2203,0.7,0.2,0.1,0,0
pso_eur,P34910,2243,0.8,0.2,0,0,0
pso_eur,Q8IXI2,2177,0.8,0.2,0,0,0
pso_eur,O43670,2445,0.7,0.2,0.1,0,0
pso_eur,O43149,3208,0.7,0.2,0.1,0,0
pso_eur,O00231,2499,0.7,0.2,0.1,0,0
pso_eur,O94832,2605,0.7,0.2,0.1,0,0
pso_eur,Q9P2R3,3234,0.7,0.2,0.1,0,0
pso_eur,P62253,3295,0.7,0.2,0.1,0,0
pso_eur,P49916,3136,0.7,0.2,0.1,0,0
pso_eur,Q9NVX2,2829,0.7,0.2,0.1,0,0
pso_eur,Q08AF3,2640,0.7,0.2,0.1,0,0
pso_eur,P63010,1865,0.7,0.2,0.1,0,0
pso_eur,Q92804,1385,0.8,0.1,0,0,0
pso_eur,Q96H55,305,0.9,0,0,0,0
pso_eur,Q9BQG0,3224,0.7,0.2,0.1,0,0
pso_eur,Q6UWP2,183,1,0,0,0,0
pso_eur,P16050,3174,0.7,0.2,0.1,0,0
pso_eur,Q13085,4,1,0,0,0,0
pso_eur,O95147,4,1,0,0,0,0
pso_eur,Q8IZL8,3205,0.7,0.2,0.1,0,0
pso_eur,P32121,3209,0.7,0.2,0.1,0,0
pso_eur,P49720,974,0.9,0.1,0,0,0
pso_eur,P78356,986,0.8,0.1,0,0,0
