names1,names2,names3
NC095SP,[264] 95_S2-B7_1_9432.d.PG.Quantity,95_S2-B7_1_9432.d.PG.Quantity
NC096SP,[265] 96_S2-B8_1_9433.d.PG.Quantity,96_S2-B8_1_9433.d.PG.Quantity
NC097SP,[266] 97_S2-B9_1_9434.d.PG.Quantity,97_S2-B9_1_9434.d.PG.Quantity
NC098SP,[267] 98_S2-B10_1_9435.d.PG.Quantity,98_S2-B10_1_9435.d.PG.Quantity
NC100SP,[1] 100_S2-B11_1_9436.d.PG.Quantity,100_S2-B11_1_9436.d.PG.Quantity
NC101SP,[2] 101_S2-B12_1_9437.d.PG.Quantity,101_S2-B12_1_9437.d.PG.Quantity
NC102SP,[3] 102_S2-C1_1_9439.d.PG.Quantity,102_S2-C1_1_9439.d.PG.Quantity
NC103SP,[4] 103_S2-C2_1_9440.d.PG.Quantity,103_S2-C2_1_9440.d.PG.Quantity
NC104SP,[5] 104_S2-C3_1_9441.d.PG.Quantity,104_S2-C3_1_9441.d.PG.Quantity
NC105SP,[6] 105_S2-C4_1_9442.d.PG.Quantity,105_S2-C4_1_9442.d.PG.Quantity
NC106SP,[7] 106_S2-C5_1_9443.d.PG.Quantity,106_S2-C5_1_9443.d.PG.Quantity
NC107SP,[8] 107_S2-C6_1_9444.d.PG.Quantity,107_S2-C6_1_9444.d.PG.Quantity
NC108SP,[9] 108_S2-C7_1_9445.d.PG.Quantity,108_S2-C7_1_9445.d.PG.Quantity
NC110SP,[10] 110_S2-C8_1_9446.d.PG.Quantity,110_S2-C8_1_9446.d.PG.Quantity
NC112SP,[11] 112_S2-C9_1_9447.d.PG.Quantity,112_S2-C9_1_9447.d.PG.Quantity
NC114SP,[12] 114_S2-C10_1_9448.d.PG.Quantity,114_S2-C10_1_9448.d.PG.Quantity
NC115SP,[13] 115_S2-C11_1_9449.d.PG.Quantity,115_S2-C11_1_9449.d.PG.Quantity
NC116SP,[14] 116_S2-C12_1_9450.d.PG.Quantity,116_S2-C12_1_9450.d.PG.Quantity
NC120SP,[15] 120_S3-E1_1_9506.d.PG.Quantity,120_S3-E1_1_9506.d.PG.Quantity
NC121SP,[16] 121_S3-E2_1_9507.d.PG.Quantity,121_S3-E2_1_9507.d.PG.Quantity
NC122SP,[17] 122_S3-E3_1_9508.d.PG.Quantity,122_S3-E3_1_9508.d.PG.Quantity
NC123SP,[18] 123_S3-E4_1_9509.d.PG.Quantity,123_S3-E4_1_9509.d.PG.Quantity
NC124SP,[19] 124_S3-E5_1_9510.d.PG.Quantity,124_S3-E5_1_9510.d.PG.Quantity
NC126SP,[20] 126_S3-E6_1_9511.d.PG.Quantity,126_S3-E6_1_9511.d.PG.Quantity
NC127SP,[21] 127_S3-E7_1_9512.d.PG.Quantity,127_S3-E7_1_9512.d.PG.Quantity
NC128SP,[22] 128_S3-E8_1_9513.d.PG.Quantity,128_S3-E8_1_9513.d.PG.Quantity
NC129SP,[23] 129_S3-E9_1_9514.d.PG.Quantity,129_S3-E9_1_9514.d.PG.Quantity
NC130SP,[25] 130_S3-E10_1_9515.d.PG.Quantity,130_S3-E10_1_9515.d.PG.Quantity
NC131SP,[26] 131_S3-E11_1_9516.d.PG.Quantity,131_S3-E11_1_9516.d.PG.Quantity
NC132SP,[27] 132_S3-E12_1_9517.d.PG.Quantity,132_S3-E12_1_9517.d.PG.Quantity
NC133SP,[28] 133_S3-F1_1_9519.d.PG.Quantity,133_S3-F1_1_9519.d.PG.Quantity
NC138SP,[29] 138_S3-F2_1_9520.d.PG.Quantity,138_S3-F2_1_9520.d.PG.Quantity
NC139SP,[30] 139_S3-F3_1_9521.d.PG.Quantity,139_S3-F3_1_9521.d.PG.Quantity
NC140SP,[32] 140_S3-F4_1_9522.d.PG.Quantity,140_S3-F4_1_9522.d.PG.Quantity
NC141SP,[33] 141_S3-F5_1_9523.d.PG.Quantity,141_S3-F5_1_9523.d.PG.Quantity
NC143SP,[34] 143_S3-F6_1_9524.d.PG.Quantity,143_S3-F6_1_9524.d.PG.Quantity
NC144SP,[35] 144_S3-F7_1_9525.d.PG.Quantity,144_S3-F7_1_9525.d.PG.Quantity
NC146SP,[36] 146_S3-F8_1_9526.d.PG.Quantity,146_S3-F8_1_9526.d.PG.Quantity
NC147SP,[37] 147_S3-F9_1_9527.d.PG.Quantity,147_S3-F9_1_9527.d.PG.Quantity
NC148SP,[38] 148_S2-D5_1_9730.d.PG.Quantity,148_S2-D5_1_9730.d.PG.Quantity
NC149SP,[39] 149_S3-F11_1_9529.d.PG.Quantity,149_S3-F11_1_9529.d.PG.Quantity
NC150SP,[40] 150_S3-F12_1_9530.d.PG.Quantity,150_S3-F12_1_9530.d.PG.Quantity
NC151SP,[41] 151_S2-A1_1_9533.d.PG.Quantity,151_S2-A1_1_9533.d.PG.Quantity
NC152SP,[42] 152_S2-A2_1_9534.d.PG.Quantity,152_S2-A2_1_9534.d.PG.Quantity
NC153SP,[43] 153_S2-A3_1_9535.d.PG.Quantity,153_S2-A3_1_9535.d.PG.Quantity
NC157SP,[44] 157_S2-A4_1_9536.d.PG.Quantity,157_S2-A4_1_9536.d.PG.Quantity
NC158SP,[45] 158_S2-A5_1_9537.d.PG.Quantity,158_S2-A5_1_9537.d.PG.Quantity
NC163SP,[46] 163_S2-A6_1_9538.d.PG.Quantity,163_S2-A6_1_9538.d.PG.Quantity
NC164SP,[47] 164_S2-A7_1_9539.d.PG.Quantity,164_S2-A7_1_9539.d.PG.Quantity
