pro_id	nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	P1	P2	P3	P4	relative_P4	relative_PP4
P01599	837	0.862163435296996	0.0593112075373394	0.0682805214585085	0.0046917003239778	0.00555313538317876	0.0837	0.0837	0.00699732	0.00837	0.544662309368192	0.54204240476981
P01615	2	0.999627911940514	0.000188139228906157	0.000168169342435976	1.58874266633662e-08	1.57636007175527e-05	2e-04	2e-04	2e-08	2e-05	0.999000999000999	0.998993159567778
P01619	777	0.864805281713423	0.069563995241401	0.0553411231939441	0.00444573582902717	0.00584386402220515	0.0777	0.0777	0.00602952	0.00777	0.563063063063063	0.567938900122075
P01624	924	0.835314641696093	0.0653370650559461	0.0855720311884261	0.00668622657797461	0.0070900354815601	0.0924	0.0924	0.00852852	0.00924	0.520020800832033	0.514655967701558
P01700	1496	0.733678653302262	0.125788325747987	0.108971445451452	0.018670132270192	0.0128914432281068	0.1496	0.1496	0.0223652	0.01496	0.400801603206413	0.408453729719598
P01701	1469	0.745190561178753	0.106495693401197	0.119526441206176	0.0170698881478773	0.0117174160659968	0.1469	0.1469	0.02156492	0.01469	0.405186385737439	0.407034155714712
P01706	1429	0.778912192082159	0.0925987851481301	0.106652540211047	0.0126699207048446	0.00916656185381901	0.1429	0.1429	0.02040612	0.01429	0.411861614497529	0.419781978585291
P01709	1389	0.774621837953373	0.0936811959701537	0.109206093928381	0.0131978707851239	0.00929300136296877	0.1389	0.1389	0.01927932	0.01389	0.418760469011725	0.413189906633161
P01714	1481	0.753521193546535	0.118891064780432	0.100681271327148	0.0158745246305948	0.0110319457152907	0.1481	0.1481	0.0219188	0.01481	0.403225806451613	0.4100108848717
P01715	1318	0.796243462574755	0.0879457635680178	0.0968318106323929	0.0106868632438407	0.00829209998099394	0.1318	0.1318	0.01735806	0.01318	0.431592576607682	0.436910061037656
P01717	1521	0.738781102165121	0.0996234565352968	0.13247392347251	0.017852628980829	0.0112688888462429	0.1521	0.1521	0.0231192	0.01521	0.396825396825397	0.386960903382828
P01721	1269	0.752746480225444	0.114508218883333	0.102085928685658	0.0155142238675684	0.0151451483379965	0.1269	0.1269	0.01609092	0.01269	0.440917107583774	0.493981032502926
P01780	543	0.89167566742193	0.0460805347498069	0.0540287115828286	0.00278669885409561	0.00542838739133844	0.0543	0.0543	0.00294306	0.00543	0.648508430609598	0.660782763462227
P01833	2084	0.684498467563706	0.15116555568002	0.124083090703764	0.0273898123822585	0.0128630736702515	0.2084	0.2084	0.04340972	0.02084	0.324359390204346	0.319556556850896
P01834	1029	0.830330732976963	0.0783416138206489	0.0769655236025337	0.00725458118368213	0.00710754841617247	0.1029	0.1029	0.01057812	0.01029	0.493096646942801	0.494881233786139
P01859	1222	0.806130841885823	0.0849353705336285	0.0908050174411574	0.00955880719463294	0.00856996294475836	0.1222	0.1222	0.01492062	0.01222	0.45024763619991	0.472727210884373
P01860	1044	0.0252707001216377	0.828945155489359	0.00231939181402081	0.0760146766027414	0.0674500759722407	0.1044	0.1044	0.01088892	0.01044	0.489476260401371	0.470150854210604
P01861	1255	0.653079798172114	0.175597630327446	0.112531793975142	0.0302285616667633	0.0285622158585341	0.1255	0.1255	0.0157377	0.01255	0.443655723158829	0.485828170009215
P01871	968	0.823905010693559	0.0715259565179278	0.0891504539411135	0.0077317630107615	0.00768681583663788	0.0968	0.0968	0.00936056	0.00968	0.508388408744281	0.498542434598919
P01876	1108	0.812784093682543	0.0959982167459506	0.0746574431875082	0.00881006683793631	0.00775017954606239	0.1108	0.1108	0.01226556	0.01108	0.474608448030375	0.467999048223762
P01911	260	0.916694227990836	0.018769529301193	0.0586908468309211	0.00119706051767795	0.00464833535937212	0.026	0.026	0.0006734	0.0026	0.79428117553614	0.795213097135508
