pro_id,age_group,rho_age,rho_p_age
O00443,age1,0.161990002,0.245745288
O00443,age2,0.07031124,0.615929319
O00443,age3,0.030773975,0.83878767
O00443,age4,0.318570768,0.029535195
O00461,age1,0.5228189,7.57E-05
O00461,age2,0.272939848,0.048317309
O00461,age3,-0.007462226,0.960907616
O00461,age4,0.163968548,0.269825588
O00462,age1,0.032010966,0.819603557
O00462,age2,-0.194242864,0.163017519
O00462,age3,-0.21048412,0.159898105
O00462,age4,0.143154487,0.335964086
O00468,age1,0.061280439,0.662064634
O00468,age2,-0.010562812,0.940177377
O00468,age3,-0.116250385,0.440429118
O00468,age4,-0.027636448,0.85342471
O00469,age1,0.416303822,0.002098404
O00469,age2,-0.163522013,0.24126207
O00469,age3,0.083564601,0.579741165
O00469,age4,0.10580481,0.477836485
O00471,age1,0.483309144,0.000292232
O00471,age2,-0.18513143,0.183961082
O00471,age3,0.015972865,0.916070002
O00471,age4,0.025786309,0.86315986
O00478,age1,0.163763909,0.240559373
O00478,age2,0.29358168,0.033257857
O00478,age3,0.437557817,0.002576285
O00478,age4,0.446808511,0.001815476
O00481,age1,-0.104096114,0.457104458
O00481,age2,0.326076439,0.017574548
O00481,age3,0.225161887,0.132241097
O00481,age4,0.195767808,0.186688544
O00483,age1,0.254233188,0.066418647
O00483,age2,0.287373004,0.037306048
O00483,age3,0.363058896,0.013584441
O00483,age4,0.406105458,0.004917932
O00487,age1,-0.325270118,0.017868566
O00487,age2,0.005321722,0.969953468
O00487,age3,-0.244526673,0.101474504
O00487,age4,0.012719704,0.93240998
O00506,age1,0.174891147,0.209748399
O00506,age2,0.223915498,0.106955017
O00506,age3,0.352328091,0.016793536
O00506,age4,0.091581869,0.539217387
O00515,age1,0.075310434,0.590999765
O00515,age2,0.008143848,0.953912501
O00515,age3,0.049892075,0.741263043
O00515,age4,0.076665125,0.607472041
O00533,age1,0.319464602,0.020112322
O00533,age2,0.624334785,1.11E-06
O00533,age3,0.403391921,0.005765424
O00533,age4,-0.011447734,0.939186292
O00534,age1,0.491936784,0.000220403
O00534,age2,0.53217223,5.38E-05
O00534,age3,0.408942337,0.005084392
O00534,age4,0.410846438,0.004404184
O00541,age1,0.279148524,0.04329158
O00541,age2,0.258829221,0.061531659
O00541,age3,0.036447734,0.809519754
O00541,age4,0.07053654,0.636562224
O00560,age1,0.243186583,0.079447119
O00560,age2,-0.079825835,0.568881103
O00560,age3,0.150539624,0.316888291
O00560,age4,0.0113321,0.93980254
O00567,age1,-0.178197065,0.201158165
O00567,age2,-0.155781326,0.264496939
O00567,age3,0.166204132,0.268680075
O00567,age4,-0.182354302,0.219170305
O00571,age1,0.02765683,0.843838347
O00571,age2,0.117642316,0.400400537
O00571,age3,0.192229417,0.199959973
O00571,age4,0.047641073,0.74983895
O00584,age1,-0.143122077,0.305652334
O00584,age2,-0.092162554,0.510505186
O00584,age3,0.155226642,0.301918054
O00584,age4,0.16373728,0.270508874
O00622,age1,0.361554588,0.008134075
O00622,age2,0.219641993,0.113952843
O00622,age3,0.194202899,0.195313914
O00622,age4,-0.0683395,0.647128387
O00625,age1,0.138687308,0.321001941
O00625,age2,0.279390421,0.043104858
O00625,age3,0.03916127,0.795610714
O00625,age4,-0.211725254,0.152744586
O00629,age1,0.230688599,0.096551492
O00629,age2,0.07144009,0.610260664
O00629,age3,0.033364169,0.82539673
O00629,age4,0.0910037,0.541791512
O00635,age1,-0.108369618,0.438755864
O00635,age2,0.004596033,0.974080465
O00635,age3,-0.03484428,0.817766677
O00635,age4,0.192876966,0.193377486
O00712,age1,-0.004273504,0.975914911
O00712,age2,0.437590711,0.001167474
O00712,age3,-0.237496146,0.111928389
O00712,age4,0.00913506,0.951517532
O00743,age1,0.157232704,0.260029425
O00743,age2,-0.146024835,0.295867455
O00743,age3,-0.189762566,0.205877384
O00743,age4,0.026595745,0.85889815
O00748,age1,0.085953878,0.539497044
O00748,age2,0.11780358,0.399751425
O00748,age3,0.169781067,0.258400111
O00748,age4,-0.020351526,0.891868965
O00750,age1,0.002499597,0.986006333
O00750,age2,0.189727463,0.173165543
O00750,age3,-0.050508788,0.738174721
O00750,age4,0.147779833,0.320454399
O00754,age1,0.062006128,0.658307595
O00754,age2,-0.012417352,0.929658678
O00754,age3,0.033487512,0.824760268
O00754,age4,0.113783534,0.445110188
O00763,age1,-0.02991453,0.831252608
O00763,age2,0.217948718,0.116821051
O00763,age3,0.060252852,0.689953977
O00763,age4,-0.077012026,0.60584285
O00764,age1,0.300757942,0.029042848
O00764,age2,0.189163038,0.174465796
O00764,age3,0.052852297,0.726476985
O00764,age4,-0.03966235,0.790737907
O14494,age1,0.089340429,0.523583855
O14494,age2,0.248266409,0.07322399
O14494,age3,-0.036077706,0.811421096
O14494,age4,-0.143501388,0.334784789
O14495,age1,0.373810676,0.006116043
O14495,age2,0.358732463,0.008673775
O14495,age3,0.345790934,0.01904955
O14495,age4,0.328630897,0.024573707
O14497,age1,0.044750847,0.749734134
O14497,age2,-0.179648444,0.197467197
