pro_id,NC100,NC101,NC102,NC103,NC104,NC105,NC106,NC107,NC108,NC110,NC112,NC114,NC115,NC116,NC120,NC121,NC122,NC123,NC124,NC126,NC127,NC128,NC129,NC012,NC130,NC131,NC132,NC133,NC138,NC139,NC013,NC140,NC141,NC143,NC144,NC146,NC147,NC148,NC149,NC150,NC151,NC152,NC153,NC157,NC158,NC163,NC164,NC165,NC166
A0A0B4J1Y8,2.65976429,2.65976429,5.31952858,9.966985703,8.946768761,42.36358261,2.65976429,2.65976429,2.65976429,2.65976429,13.05845928,2.65976429,2.65976429,8.367341995,48.2663269,2.65976429,2.65976429,11.13977432,2.65976429,2.65976429,2.65976429,2.65976429,2.65976429,16.74917603,2.65976429,2.65976429,2.65976429,2.65976429,2.65976429,15.02123642,7.809662819,2.65976429,2.65976429,2.65976429,9.936963081,2.65976429,2.65976429,2.65976429,2.65976429,2.65976429,2.65976429,8.109158516,22.50928116,2.65976429,25.03575897,2.65976429,2.65976429,26.18585014,2.65976429
A0A0B4J1Y9,37.19742203,98.44586182,48.32305908,57.14003372,14.4025383,236.6464844,103.790062,114.4851303,33.9870224,44.74240112,94.69070435,67.44497681,310.7192688,69.03796387,216.0376587,178.1377258,14.28938007,84.45806885,149.9090881,63.00842285,91.34499359,27.48472404,133.5800171,95.73171234,29.06658745,63.48327637,85.72410583,82.26398468,78.79253387,103.700882,109.1091537,121.7221222,174.8684387,36.51728058,63.76195145,76.93647766,73.43256378,93.62613678,62.19615173,7.00818777,67.42989349,85.59436035,96.59261322,56.84321594,74.95682526,103.4762955,59.95977402,169.9973907,107.252182
A0A0C4DH24,35.25132751,59.75226593,61.19950485,12.75118828,12.75118828,153.4026947,67.57344055,52.06144714,12.75118828,12.75118828,105.363266,12.75118828,179.5961304,12.75118828,12.75118828,78.37780762,86.26181793,61.739048,65.12897491,47.3248558,12.75118828,44.2410202,29.98361588,181.6644135,12.75118828,51.46266174,12.75118828,75.66057587,12.75118828,52.78775024,87.66501617,12.75118828,83.65432739,57.80597687,78.72992706,35.42289352,42.96899414,12.75118828,28.57428169,12.75118828,12.75118828,12.75118828,113.1022415,12.75118828,59.20067596,102.7729416,81.0040741,12.75118828,110.2741852
A0A0C4DH25,1562.765381,1321.952148,1657.615967,1828.103149,1880.106689,9394.124023,3277.681641,3504.168213,4749.685547,2122.063965,3657.855469,1978.509399,5991.052246,4603.378906,3657.118652,3406.622803,4011.0354,3872.672119,4461.379883,4678.575684,4061.348145,1311.537842,3640.070313,3846.768066,1195.924561,2194.655518,2693.393066,2459.258789,2930.161133,2735.881836,2391.187744,3049.37793,1726.61853,2275.333252,5998.874512,2327.522949,1926.842773,3020.19751,2289.403809,2219.135986,1906.362793,1173.016235,4131.769043,2414.218018,2309.356201,3348.009033,3635.325439,2726.9104,2327.502197
A0A0C4DH29,55.42958069,25.11388588,23.51514244,4.249905586,71.8621521,118.9533005,63.95974731,23.91368866,268.3171692,19.11470795,69.87101746,13.73351002,85.17467499,39.96913528,125.8333969,54.92911911,23.24170113,29.40457535,51.06992722,52.56293869,77.69432831,36.15687561,234.000351,327.6890869,2.124952793,88.09529114,57.53535461,113.3735657,46.6460228,54.13453674,2.124952793,49.88807297,61.90667725,123.927002,28.21993256,55.14918518,141.6826172,246.9419556,209.305603,42.95692062,23.56434822,33.98888779,161.800415,55.80655289,56.09343719,19.44511604,337.2550659,120.6782455,42.74610519
A0A0C4DH31,23.64955521,27.01959991,12.93486118,14.55527401,22.49048996,92.54689789,21.80585861,31.70872879,52.3279953,5.660926342,44.47194672,23.46421242,55.10894394,23.04435158,49.35287094,16.14114761,18.91477585,25.86781502,18.46987152,17.18579865,39.68981552,1.429944277,43.10757446,39.49042892,12.53056812,25.55980492,58.78366852,33.55176926,27.74869537,35.41606522,10.80623055,18.44290733,1.429944277,54.55472565,28.2150898,30.391119,48.823452,24.4346199,43.42965698,21.27076149,30.64531898,24.60503387,56.92455292,31.34649849,21.51382637,20.53651428,63.44391251,72.02932739,35.1263237
A0A0C4DH36,665.9760132,123.0822601,62.7674675,3005.962158,215.2623138,298.1703796,220.5568237,133.5048981,241.4648895,1081.790771,82.85591125,3421.588867,285.709259,158.242157,637.6447144,634.1026001,534.572876,265.3217163,231.1773224,307.6828918,263.2663879,773.6798096,211.5849762,820.7520752,650.0720825,481.4894104,127.7594604,544.6661987,105.0770416,814.9337769,364.6307373,543.4127808,1323.639404,795.203186,529.206665,174.4120483,485.2804871,159.4826813,114.318985,31.38373375,344.0239258,470.2473145,453.9283447,237.3582306,406.0587769,626.4396973,536.7959595,931.7958374,411.9151611
A0A0C4DH38,558.2089844,512.279541,490.0608215,336.4828491,330.0116272,2655.164795,651.3465576,729.4931641,467.5921936,422.226593,514.5376587,366.4797058,1081.964722,650.7723389,1255.201294,662.4597778,378.4598999,736.2178955,477.1342468,403.6963501,587.578064,169.6618347,688.0997314,1571.161987,141.408432,437.4112549,375.3596802,611.5505371,609.4365234,517.0690918,516.0686035,541.670105,598.5593262,685.3699341,393.4342957,449.5960999,659.9532471,702.6303711,465.3525391,281.9766846,169.7054138,361.1366577,1175.85144,251.2527008,461.5916138,284.9326782,770.2259521,887.5917358,191.0423584
A0A0C4DH67,0.6406806705,0.6406806705,0.6406806705,0.6406806705,0.6406806705,0.6406806705,3.708971024,0.6406806705,0.6406806705,0.6406806705,0.6406806705,0.6406806705,0.6406806705,0.6406806705,0.6406806705,0.6406806705,0.6406806705,10.0929203,0.6406806705,2.158933163,0.6406806705,0.6406806705,0.6406806705,16.01808548,0.6406806705,0.6406806705,0.6406806705,0.6406806705,0.6406806705,2.356552601,10.26073742,0.6406806705,3.191537619,0.6406806705,0.6406806705,0.6406806705,0.6406806705,0.6406806705,0.6406806705,0.6406806705,0.6406806705,0.6406806705,0.6406806705,0.6406806705,0.6406806705,0.6406806705,10.24268532,0.6406806705,0.6406806705
A0A0J9YX35,85.48101044,51.63779068,265.8833313,70.21175385,108.6320267,170.9998322,79.51077271,126.2011871,189.0464935,174.1005402,103.3974075,19.2772274,188.4474335,19.2772274,73.55451202,261.0739136,88.00914001,96.92425537,120.7253799,141.8131561,308.7801514,132.2962341,139.0279388,326.6877136,19.2772274,92.48989105,19.2772274,115.7453918,90.6075058,107.7577362,200.6341858,19.2772274,81.47595215,80.04284668,19.2772274,38.5544548,79.94179535,170.3005981,109.814827,19.2772274,19.2772274,63.23983765,270.815979,137.5475159,138.675827,19.2772274,202.0638885,264.2681274,224.5488129
A0A1W2PR19,110.55656435,110.55656435,110.55656435,110.55656435,110.55656435,110.55656435,968.9490356,110.55656435,110.55656435,110.55656435,110.55656435,110.55656435,110.55656435,110.55656435,1099.035645,66973.64844,545.0175781,110.55656435,110.55656435,110.55656435,110.55656435,110.55656435,110.55656435,110.55656435,281.1525269,110.55656435,110.55656435,110.55656435,110.55656435,397.3598022,110.55656435,4377.077637,110.55656435,110.55656435,110.55656435,110.55656435,110.55656435,110.55656435,110.55656435,356.190033,110.55656435,110.55656435,1844.73291,110.55656435,110.55656435,5362.60791,1073.031372,20300.52148,110.55656435
